,geometry
130,"POLYGON ((203.625 45.875, 203.625 46.125, 203.375 46.125, 203.375 45.875, 203.625 45.875))"
131,"POLYGON ((203.875 45.875, 203.875 46.125, 203.625 46.125, 203.625 45.875, 203.875 45.875))"
132,"POLYGON ((204.125 45.875, 204.125 46.125, 203.875 46.125, 203.875 45.875, 204.125 45.875))"
133,"POLYGON ((204.375 45.875, 204.375 46.125, 204.125 46.125, 204.125 45.875, 204.375 45.875))"
134,"POLYGON ((204.625 45.875, 204.625 46.125, 204.375 46.125, 204.375 45.875, 204.625 45.875))"
135,"POLYGON ((204.875 45.875, 204.875 46.125, 204.625 46.125, 204.625 45.875, 204.875 45.875))"
136,"POLYGON ((205.125 45.875, 205.125 46.125, 204.875 46.125, 204.875 45.875, 205.125 45.875))"
137,"POLYGON ((205.375 45.875, 205.375 46.125, 205.125 46.125, 205.125 45.875, 205.375 45.875))"
138,"POLYGON ((205.625 45.875, 205.625 46.125, 205.375 46.125, 205.375 45.875, 205.625 45.875))"
139,"POLYGON ((205.875 45.875, 205.875 46.125, 205.625 46.125, 205.625 45.875, 205.875 45.875))"
140,"POLYGON ((206.125 45.875, 206.125 46.125, 205.875 46.125, 205.875 45.875, 206.125 45.875))"
141,"POLYGON ((206.375 45.875, 206.375 46.125, 206.125 46.125, 206.125 45.875, 206.375 45.875))"
142,"POLYGON ((206.625 45.875, 206.625 46.125, 206.375 46.125, 206.375 45.875, 206.625 45.875))"
143,"POLYGON ((206.875 45.875, 206.875 46.125, 206.625 46.125, 206.625 45.875, 206.875 45.875))"
144,"POLYGON ((207.125 45.875, 207.125 46.125, 206.875 46.125, 206.875 45.875, 207.125 45.875))"
145,"POLYGON ((207.375 45.875, 207.375 46.125, 207.125 46.125, 207.125 45.875, 207.375 45.875))"
146,"POLYGON ((207.625 45.875, 207.625 46.125, 207.375 46.125, 207.375 45.875, 207.625 45.875))"
147,"POLYGON ((207.875 45.875, 207.875 46.125, 207.625 46.125, 207.625 45.875, 207.875 45.875))"
148,"POLYGON ((208.125 45.875, 208.125 46.125, 207.875 46.125, 207.875 45.875, 208.125 45.875))"
149,"POLYGON ((208.375 45.875, 208.375 46.125, 208.125 46.125, 208.125 45.875, 208.375 45.875))"
150,"POLYGON ((208.625 45.875, 208.625 46.125, 208.375 46.125, 208.375 45.875, 208.625 45.875))"
151,"POLYGON ((208.875 45.875, 208.875 46.125, 208.625 46.125, 208.625 45.875, 208.875 45.875))"
152,"POLYGON ((209.125 45.875, 209.125 46.125, 208.875 46.125, 208.875 45.875, 209.125 45.875))"
153,"POLYGON ((209.375 45.875, 209.375 46.125, 209.125 46.125, 209.125 45.875, 209.375 45.875))"
154,"POLYGON ((209.625 45.875, 209.625 46.125, 209.375 46.125, 209.375 45.875, 209.625 45.875))"
155,"POLYGON ((209.875 45.875, 209.875 46.125, 209.625 46.125, 209.625 45.875, 209.875 45.875))"
156,"POLYGON ((210.125 45.875, 210.125 46.125, 209.875 46.125, 209.875 45.875, 210.125 45.875))"
157,"POLYGON ((210.375 45.875, 210.375 46.125, 210.125 46.125, 210.125 45.875, 210.375 45.875))"
158,"POLYGON ((210.625 45.875, 210.625 46.125, 210.375 46.125, 210.375 45.875, 210.625 45.875))"
159,"POLYGON ((210.875 45.875, 210.875 46.125, 210.625 46.125, 210.625 45.875, 210.875 45.875))"
160,"POLYGON ((211.125 45.875, 211.125 46.125, 210.875 46.125, 210.875 45.875, 211.125 45.875))"
161,"POLYGON ((211.375 45.875, 211.375 46.125, 211.125 46.125, 211.125 45.875, 211.375 45.875))"
162,"POLYGON ((211.625 45.875, 211.625 46.125, 211.375 46.125, 211.375 45.875, 211.625 45.875))"
163,"POLYGON ((211.875 45.875, 211.875 46.125, 211.625 46.125, 211.625 45.875, 211.875 45.875))"
164,"POLYGON ((212.125 45.875, 212.125 46.125, 211.875 46.125, 211.875 45.875, 212.125 45.875))"
165,"POLYGON ((212.375 45.875, 212.375 46.125, 212.125 46.125, 212.125 45.875, 212.375 45.875))"
166,"POLYGON ((212.625 45.875, 212.625 46.125, 212.375 46.125, 212.375 45.875, 212.625 45.875))"
167,"POLYGON ((212.875 45.875, 212.875 46.125, 212.625 46.125, 212.625 45.875, 212.875 45.875))"
168,"POLYGON ((213.125 45.875, 213.125 46.125, 212.875 46.125, 212.875 45.875, 213.125 45.875))"
169,"POLYGON ((213.375 45.875, 213.375 46.125, 213.125 46.125, 213.125 45.875, 213.375 45.875))"
170,"POLYGON ((213.625 45.875, 213.625 46.125, 213.375 46.125, 213.375 45.875, 213.625 45.875))"
171,"POLYGON ((213.875 45.875, 213.875 46.125, 213.625 46.125, 213.625 45.875, 213.875 45.875))"
172,"POLYGON ((214.125 45.875, 214.125 46.125, 213.875 46.125, 213.875 45.875, 214.125 45.875))"
173,"POLYGON ((214.375 45.875, 214.375 46.125, 214.125 46.125, 214.125 45.875, 214.375 45.875))"
174,"POLYGON ((214.625 45.875, 214.625 46.125, 214.375 46.125, 214.375 45.875, 214.625 45.875))"
175,"POLYGON ((214.875 45.875, 214.875 46.125, 214.625 46.125, 214.625 45.875, 214.875 45.875))"
176,"POLYGON ((215.125 45.875, 215.125 46.125, 214.875 46.125, 214.875 45.875, 215.125 45.875))"
177,"POLYGON ((215.375 45.875, 215.375 46.125, 215.125 46.125, 215.125 45.875, 215.375 45.875))"
178,"POLYGON ((215.625 45.875, 215.625 46.125, 215.375 46.125, 215.375 45.875, 215.625 45.875))"
179,"POLYGON ((215.875 45.875, 215.875 46.125, 215.625 46.125, 215.625 45.875, 215.875 45.875))"
180,"POLYGON ((216.125 45.875, 216.125 46.125, 215.875 46.125, 215.875 45.875, 216.125 45.875))"
181,"POLYGON ((216.375 45.875, 216.375 46.125, 216.125 46.125, 216.125 45.875, 216.375 45.875))"
182,"POLYGON ((216.625 45.875, 216.625 46.125, 216.375 46.125, 216.375 45.875, 216.625 45.875))"
183,"POLYGON ((216.875 45.875, 216.875 46.125, 216.625 46.125, 216.625 45.875, 216.875 45.875))"
184,"POLYGON ((217.125 45.875, 217.125 46.125, 216.875 46.125, 216.875 45.875, 217.125 45.875))"
185,"POLYGON ((217.375 45.875, 217.375 46.125, 217.125 46.125, 217.125 45.875, 217.375 45.875))"
186,"POLYGON ((217.625 45.875, 217.625 46.125, 217.375 46.125, 217.375 45.875, 217.625 45.875))"
187,"POLYGON ((217.875 45.875, 217.875 46.125, 217.625 46.125, 217.625 45.875, 217.875 45.875))"
188,"POLYGON ((218.125 45.875, 218.125 46.125, 217.875 46.125, 217.875 45.875, 218.125 45.875))"
189,"POLYGON ((218.375 45.875, 218.375 46.125, 218.125 46.125, 218.125 45.875, 218.375 45.875))"
190,"POLYGON ((218.625 45.875, 218.625 46.125, 218.375 46.125, 218.375 45.875, 218.625 45.875))"
191,"POLYGON ((218.875 45.875, 218.875 46.125, 218.625 46.125, 218.625 45.875, 218.875 45.875))"
192,"POLYGON ((219.125 45.875, 219.125 46.125, 218.875 46.125, 218.875 45.875, 219.125 45.875))"
193,"POLYGON ((219.375 45.875, 219.375 46.125, 219.125 46.125, 219.125 45.875, 219.375 45.875))"
194,"POLYGON ((219.625 45.875, 219.625 46.125, 219.375 46.125, 219.375 45.875, 219.625 45.875))"
195,"POLYGON ((219.875 45.875, 219.875 46.125, 219.625 46.125, 219.625 45.875, 219.875 45.875))"
196,"POLYGON ((220.125 45.875, 220.125 46.125, 219.875 46.125, 219.875 45.875, 220.125 45.875))"
197,"POLYGON ((220.375 45.875, 220.375 46.125, 220.125 46.125, 220.125 45.875, 220.375 45.875))"
198,"POLYGON ((220.625 45.875, 220.625 46.125, 220.375 46.125, 220.375 45.875, 220.625 45.875))"
199,"POLYGON ((220.875 45.875, 220.875 46.125, 220.625 46.125, 220.625 45.875, 220.875 45.875))"
200,"POLYGON ((221.125 45.875, 221.125 46.125, 220.875 46.125, 220.875 45.875, 221.125 45.875))"
201,"POLYGON ((221.375 45.875, 221.375 46.125, 221.125 46.125, 221.125 45.875, 221.375 45.875))"
202,"POLYGON ((221.625 45.875, 221.625 46.125, 221.375 46.125, 221.375 45.875, 221.625 45.875))"
203,"POLYGON ((221.875 45.875, 221.875 46.125, 221.625 46.125, 221.625 45.875, 221.875 45.875))"
204,"POLYGON ((222.125 45.875, 222.125 46.125, 221.875 46.125, 221.875 45.875, 222.125 45.875))"
205,"POLYGON ((222.375 45.875, 222.375 46.125, 222.125 46.125, 222.125 45.875, 222.375 45.875))"
206,"POLYGON ((222.625 45.875, 222.625 46.125, 222.375 46.125, 222.375 45.875, 222.625 45.875))"
207,"POLYGON ((222.875 45.875, 222.875 46.125, 222.625 46.125, 222.625 45.875, 222.875 45.875))"
